"DataSet","Year","Pop_Name","CU_Name","SpnForAbd_Total","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1938,"Railroad Creek","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46147,"L-04-01",NA
"Sk_Fraser",1938,"Ryan River","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46122,"L-04-01",NA
"Sk_Fraser",1938,"Weaver Creek","Harrison (U/S) - Late",18012,8025,8025,18012,NA,NA,46044,"L-03-04",NA
"Sk_Fraser",1938,"Adams River, lower","Shuswap Complex - Late",620000,243160,243160,620000,NA,NA,46238,"L-09-02",NA
"Sk_Fraser",1938,"Adams River, lower","Shuswap Complex - Late",620000,243160,243160,620000,NA,NA,46239,"L-09-03",NA
"Sk_Fraser",1938,"Anstey River","Shuswap Complex - Late",0,0,0,0,NA,NA,46348,"L-09-02",NA
"Sk_Fraser",1938,"Anstey River","Shuswap Complex - Late",0,0,0,0,NA,NA,46349,"L-09-03",NA
"Sk_Fraser",1938,"Eagle River","Shuswap Complex - Late",0,0,0,0,NA,NA,46358,"L-09-02",NA
"Sk_Fraser",1938,"Eagle River","Shuswap Complex - Late",0,0,0,0,NA,NA,46359,"L-09-03",NA
"Sk_Fraser",1938,"Hunakwa Creek","Shuswap Complex - Late",0,0,0,0,NA,NA,46338,"L-09-02",NA
"Sk_Fraser",1938,"Hunakwa Creek","Shuswap Complex - Late",0,0,0,0,NA,NA,46339,"L-09-03",NA
"Sk_Fraser",1938,"Little River","Shuswap Complex - Late",175000,59355,59355,175000,NA,NA,46228,"L-09-03",NA
"Sk_Fraser",1938,"Lower Shuswap River","Shuswap Complex - Late",0,0,0,0,NA,NA,46429,"L-09-03",NA
"Sk_Fraser",1938,"Middle Shuswap River","Shuswap Complex - Late",0,0,0,0,NA,NA,46439,"L-09-02",NA
"Sk_Fraser",1938,"Middle Shuswap River","Shuswap Complex - Late",0,0,0,0,NA,NA,46440,"L-09-03",NA
