"CU_ID","Species","Stock","Label","Year","Metric","Value","LBM","UBM","Status"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2018,"PercChange",132.3663,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2015,"RelAbd",1572.6436,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2016,"RelAbd",1750.377,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2017,"RelAbd",1592.3287,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2018,"RelAbd",1390.7284,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2015,"AbsAbd",1572.6436,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2016,"AbsAbd",1750.377,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2017,"AbsAbd",1592.3287,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2018,"AbsAbd",1390.7284,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2015,"LongTrend",0.34,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2016,"LongTrend",0.38,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2017,"LongTrend",0.36,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2018,"LongTrend",0.32,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2015,"PercChange",-49.8457,-25,-15,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2016,"PercChange",-18.2473,-25,-15,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2017,"PercChange",-8.4606,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2018,"PercChange",-18.3133,-25,-15,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2015,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2016,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Total",2018,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2015,"RelAbd",844.5679,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2016,"RelAbd",968.3563,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2017,"RelAbd",887.7507,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2018,"RelAbd",780.0522,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2015,"AbsAbd",844.5679,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2016,"AbsAbd",968.3563,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2017,"AbsAbd",887.7507,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2018,"AbsAbd",780.0522,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2015,"LongTrend",0.35,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2016,"LongTrend",0.4,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2017,"LongTrend",0.38,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2018,"LongTrend",0.34,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2015,"PercChange",-45.0555,-25,-15,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2016,"PercChange",-3.2578,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2017,"PercChange",14.5536,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2018,"PercChange",3.7712,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2015,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Total",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"RelAbd",1572.6436,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"RelAbd",1750.377,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"RelAbd",1592.3287,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"RelAbd",1390.7284,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"AbsAbd",1572.6436,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"AbsAbd",1750.377,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"AbsAbd",1592.3287,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"AbsAbd",1390.7284,1000,10000,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"LongTrend",0.34,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"LongTrend",0.38,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"LongTrend",0.36,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"LongTrend",0.32,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"PercChange",-49.2601,-25,-15,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"PercChange",-18.3686,-25,-15,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"PercChange",-8.0961,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"PercChange",-17.6703,-25,-15,"Amber"
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2015,"RelAbd",844.5679,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2016,"RelAbd",968.3563,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2017,"RelAbd",887.7507,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2018,"RelAbd",780.0522,5100,19000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2015,"AbsAbd",844.5679,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2016,"AbsAbd",968.3563,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2017,"AbsAbd",887.7507,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2018,"AbsAbd",780.0522,1000,10000,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2015,"LongTrend",0.35,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2016,"LongTrend",0.4,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2017,"LongTrend",0.38,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2018,"LongTrend",0.34,0.5,0.75,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2015,"PercChange",-45.8341,-25,-15,"Red"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2016,"PercChange",-3.4035,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2017,"PercChange",13.9471,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2018,"PercChange",3.7906,-25,-15,"Green"
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2015,"ProbDeclBelowLBM",0.0333,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-1","Sockeye","Bowron_ES","SpnForTrend_Wild",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2015,"RelAbd",605787.9492,141905.544723796,429909.454806591,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2016,"RelAbd",630939.1184,141977.949514044,465603.971592745,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2017,"RelAbd",547559.1425,142050.354304292,459081.188418139,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2018,"RelAbd",481695.5125,142274.538973087,450020.249648925,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2015,"AbsAbd",605787.9492,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2016,"AbsAbd",630939.1184,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2017,"AbsAbd",547559.1425,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2018,"AbsAbd",481695.5125,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2015,"LongTrend",2.47,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2016,"LongTrend",2.54,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2017,"LongTrend",2.18,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2018,"LongTrend",1.91,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2015,"PercChange",151.9845,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2016,"PercChange",157.4648,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2017,"PercChange",107.6226,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2018,"PercChange",65.9112,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Total",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2015,"RelAbd",351211.5672,83918.5427082939,257487.421802365,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2016,"RelAbd",365398.503,83965.5531746391,267020.317029461,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2017,"RelAbd",321816.1356,84012.5636409844,262300.843225201,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2018,"RelAbd",284051.548,84368.8268451724,259894.132513783,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2015,"AbsAbd",351211.5672,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2016,"AbsAbd",365398.503,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2017,"AbsAbd",321816.1356,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2018,"AbsAbd",284051.548,1000,10000,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2015,"LongTrend",2.46,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2016,"LongTrend",2.52,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2017,"LongTrend",2.2,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2018,"LongTrend",1.93,0.5,0.75,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2015,"PercChange",185.6315,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2016,"PercChange",180.0699,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2017,"PercChange",125.9871,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2018,"PercChange",79.3254,-25,-15,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForTrend_Total",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2015,"RelAbd",605787.9492,141905.544723796,429909.454806591,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2016,"RelAbd",630939.1184,141977.949514044,465603.971592745,"Green"
"CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2017,"RelAbd",547559.1425,142050.354304292,459081.188418139,"Green"
