"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Value","Status"
"88","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2017,"RelLBM",87.6367,15.1440355948114,53.7092548929832,5.78687889706399,"Green"
"89","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2018,"RelLBM",93.5681,15.2801741406443,56.2402080813646,6.1234969666422,"Green"
"90","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2015,"AbsLBM",63.1011,1000,10000,0.0631011,"Red"
"91","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2016,"AbsLBM",73.9319,1000,10000,0.0739319,"Red"
"92","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2017,"AbsLBM",87.6367,1000,10000,0.0876367,"Red"
"93","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2018,"AbsLBM",93.5681,1000,10000,0.0935681,"Red"
"94","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2015,"LongTrend",2.34,0.5,0.75,2.34,"Green"
"95","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2016,"LongTrend",2.6,0.5,0.75,2.6,"Green"
"96","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2017,"LongTrend",2.91,0.5,0.75,2.91,"Green"
"97","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2018,"LongTrend",2.99,0.5,0.75,2.99,"Green"
"98","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2015,"PercChange",879.1913,-25,-15,879.1913,"Green"
"99","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2016,"PercChange",875.7187,-25,-15,875.7187,"Green"
"100","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2017,"PercChange",786.5127,-25,-15,786.5127,"Green"
"101","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2018,"PercChange",438.7898,-25,-15,438.7898,"Green"
"102","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2015,"ProbDeclBelowLBM",0,NA,NA,0,NA
"103","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,0,NA
"104","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2017,"ProbDeclBelowLBM",0,NA,NA,0,NA
"105","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild",2018,"ProbDeclBelowLBM",0,NA,NA,0,NA
"106","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2015,"RelUBM",NA,505.764307959326,666.342001546863,NA,NA
"107","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2016,"RelUBM",NA,475.969228891807,665.570306607125,NA,NA
"108","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2017,"RelUBM",NA,430.437439607784,664.798611667388,NA,NA
"109","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2015,"AbsUBM",NA,1000,10000,NA,NA
"110","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2016,"AbsUBM",NA,1000,10000,NA,NA
"111","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2017,"AbsUBM",NA,1000,10000,NA,NA
"112","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2015,"RelLBM",NA,505.764307959326,666.342001546863,NA,NA
"113","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2016,"RelLBM",NA,475.969228891807,665.570306607125,NA,NA
"114","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2017,"RelLBM",NA,430.437439607784,664.798611667388,NA,NA
"115","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2015,"AbsLBM",NA,1000,10000,NA,NA
"116","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2016,"AbsLBM",NA,1000,10000,NA,NA
"117","CK-07","Chinook","Maria Slough_SU_0.3","SpnForAbd_Wild",2017,"AbsLBM",NA,1000,10000,NA,NA
"118","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2015,"LongTrend",NA,0.5,0.75,NA,NA
"119","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2016,"LongTrend",NA,0.5,0.75,NA,NA
"120","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2017,"LongTrend",NA,0.5,0.75,NA,NA
"121","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2015,"PercChange",-9.8543,-25,-15,-9.8543,"Green"
"122","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2016,"PercChange",-12.4735,-25,-15,-12.4735,"Green"
"123","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2017,"PercChange",-23.2226,-25,-15,-23.2226,"Amber"
"124","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2015,"ProbDeclBelowLBM",0,NA,NA,0,NA
"125","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,0,NA
"126","CK-07","Chinook","Maria Slough_SU_0.3","SpnForTrend_Wild",2017,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
"127","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2015,"RelUBM",NA,16.5869212781708,52.4336672786902,NA,NA
"128","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2016,"RelUBM",NA,15.3027031787212,49.8156364128227,NA,NA
"129","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2017,"RelUBM",NA,14.1244748174993,47.1976055469553,NA,NA
"130","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2018,"RelUBM",NA,13.2233698827052,44.5795746810879,NA,NA
"131","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2015,"AbsUBM",NA,1000,10000,NA,NA
"132","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2016,"AbsUBM",NA,1000,10000,NA,NA
"133","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForAbd_Wild",2017,"AbsUBM",NA,1000,10000,NA,NA
