Base.Unit.CU.ID,Base.Unit.CU.ShortName,Year,Metric,Value
SEL-L-06-10,Quesnel_S,2012,ShortTerm.Trend,-0.92
SEL-L-06-13,Takla_Trem_S_S,2012,ShortTerm.Trend,-0.85
SEL-L-09-03,Shuswap_L,2012,ShortTerm.Trend,0.46
SER-R03,Harrison_RT,2012,ShortTerm.Trend,33.88
SEL-L-03-05,Pitt_ES,2017,LongTerm.Ratio,2.34
SEL-L-06-20,Nadina_Francois_ES,2017,LongTerm.Ratio,1.51
SEL-L-10-01,Kamloops_ES,2017,LongTerm.Ratio,1.69
SEL-L-07-01,Bowron_ES,2017,LongTerm.Ratio,0.35
SEL-L-10-03,North_Barriere_ES,2017,LongTerm.Ratio,1.21
SEL-L-05-02,Nahatlatch_ES,2017,LongTerm.Ratio,1
SEL-L-06-16,Taseko_ES,2017,LongTerm.Ratio,0.25
SEL-L-03-01,Chilliwack_ES,2017,LongTerm.Ratio,1.58
SEL-L-06-01,Anderson_Seton_ES,2017,LongTerm.Ratio,6.84
SEL-L-06-03,Chilko_S_ES,2017,LongTerm.Ratio,2.46
SEL-L-06-07,Fran_Fras_S,2017,LongTerm.Ratio,1.36
SEL-L-03-02,Cultus_L,2017,LongTerm.Ratio,0.14
SEL-L-06-11,Seton-L,2017,LongTerm.Ratio,0.31
SEL-L-03-04,Harrison_US_L,2017,LongTerm.Ratio,0.45
SER-R02,Widgeon_RT,2017,LongTerm.Ratio,1.78
SEL-L-04-01,Lillooet_Harr_L,2017,LongTerm.Ratio,0.81
SEL-L-03-03,Harrison_DS_L,2017,LongTerm.Ratio,4.45
SEL-L-09-02,Shuswap_ES,2017,LongTerm.Ratio,1.57
SEL-L-06-14,Takla_Trem_Estu,2017,LongTerm.Ratio,0.42
SEL-L-06-10,Quesnel_S,2017,LongTerm.Ratio,1.86
SEL-L-06-13,Takla_Trem_S_S,2017,LongTerm.Ratio,1.12
SEL-L-09-03,Shuswap_L,2017,LongTerm.Ratio,0.54
SER-R03,Harrison_RT,2017,LongTerm.Ratio,19.24
SEL-L-03-05,Pitt_ES,2012,LongTerm.Ratio,1.68
SEL-L-06-20,Nadina_Francois_ES,2012,LongTerm.Ratio,0.91
SEL-L-10-01,Kamloops_ES,2012,LongTerm.Ratio,2.23
SEL-L-07-01,Bowron_ES,2012,LongTerm.Ratio,0.28
SEL-L-10-03,North_Barriere_ES,2012,LongTerm.Ratio,1.27
SEL-L-05-02,Nahatlatch_ES,2012,LongTerm.Ratio,0.54
SEL-L-06-16,Taseko_ES,2012,LongTerm.Ratio,0.22
SEL-L-03-01,Chilliwack_ES,2012,LongTerm.Ratio,0.75
SEL-L-06-01,Anderson_Seton_ES,2012,LongTerm.Ratio,1.75
SEL-L-06-03,Chilko_S_ES,2012,LongTerm.Ratio,1.23
SEL-L-06-07,Fran_Fras_S,2012,LongTerm.Ratio,1.15
SEL-L-03-02,Cultus_L,2012,LongTerm.Ratio,0.09
SEL-L-06-11,Seton-L,2012,LongTerm.Ratio,0.67
SEL-L-03-04,Harrison_US_L,2012,LongTerm.Ratio,0.65
SER-R02,Widgeon_RT,2012,LongTerm.Ratio,0.46
SEL-L-04-01,Lillooet_Harr_L,2012,LongTerm.Ratio,1.27
SEL-L-03-03,Harrison_DS_L,2012,LongTerm.Ratio,6.56
SEL-L-09-02,Shuswap_ES,2012,LongTerm.Ratio,0.89
SEL-L-06-14,Takla_Trem_Estu,2012,LongTerm.Ratio,0.59
SEL-L-06-10,Quesnel_S,2012,LongTerm.Ratio,5.74
SEL-L-06-13,Takla_Trem_S_S,2012,LongTerm.Ratio,1.54
SEL-L-09-03,Shuswap_L,2012,LongTerm.Ratio,0.76
SER-R03,Harrison_RT,2012,LongTerm.Ratio,8.85
SEL-L-03-05,Pitt_ES,2017,Recent.EFS,23318
SEL-L-06-20,Nadina_Francois_ES,2017,Recent.EFS,7896
SEL-L-10-01,Kamloops_ES,2017,Recent.EFS,4324
SEL-L-07-01,Bowron_ES,2017,Recent.EFS,854
SEL-L-10-03,North_Barriere_ES,2017,Recent.EFS,2132
SEL-L-05-02,Nahatlatch_ES,2017,Recent.EFS,1563
SEL-L-06-16,Taseko_ES,2017,Recent.EFS,106
SEL-L-03-01,Chilliwack_ES,2017,Recent.EFS,6172
SEL-L-06-01,Anderson_Seton_ES,2017,Recent.EFS,11239
SEL-L-06-03,Chilko_S_ES,2017,Recent.EFS,351211
SEL-L-06-07,Fran_Fras_S,2017,Recent.EFS,55984
SEL-L-03-02,Cultus_L,2017,Recent.EFS,460
SEL-L-06-11,Seton-L,2017,Recent.EFS,565
SEL-L-03-04,Harrison_US_L,2017,Recent.EFS,5745
SER-R02,Widgeon_RT,2017,Recent.EFS,360
SEL-L-04-01,Lillooet_Harr_L,2017,Recent.EFS,22757
SEL-L-03-03,Harrison_DS_L,2017,Recent.EFS,2551
SEL-L-09-02,Shuswap_ES,2017,Recent.EFS,16193
SEL-L-06-14,Takla_Trem_Estu,2017,Recent.EFS,7450
SEL-L-06-10,Quesnel_S,2017,Recent.EFS,13827
SEL-L-06-13,Takla_Trem_S_S,2017,Recent.EFS,16157
SEL-L-09-03,Shuswap_L,2017,Recent.EFS,13231
SER-R03,Harrison_RT,2017,Recent.EFS,119446
SEL-L-03-05,Pitt_ES,2012,Recent.EFS,15877
SEL-L-06-20,Nadina_Francois_ES,2012,Recent.EFS,4539
SEL-L-10-01,Kamloops_ES,2012,Recent.EFS,5466
SEL-L-07-01,Bowron_ES,2012,Recent.EFS,754
